timestamp,total_balance,total_equity,total_return_pct
2025-11-10T08:44:23.487475,9825.356704716667,9825.356704716667,0.0
2025-11-10T08:47:29.733790,9825.356704716667,9825.356704716667,0.0
2025-11-10T08:50:35.433055,9825.356704716667,9825.356704716667,0.0
2025-11-10T08:53:41.056633,9825.356704716667,9825.356704716667,0.0
2025-11-10T08:56:48.038783,9616.524393412501,9616.524393412501,0.0
2025-11-10T08:59:53.801675,9616.524393412501,9616.524393412501,0.0
2025-11-10T09:03:01.355767,9616.524393412501,9616.524393412501,0.0
2025-11-10T09:06:07.195510,9616.524393412501,9616.524393412501,0.0
2025-11-10T09:09:12.892674,9616.524393412501,9616.524393412501,0.0
2025-11-10T09:12:18.965481,9616.524393412501,9616.524393412501,0.0
2025-11-10T09:15:24.770095,9616.524393412501,9616.524393412501,0.0
2025-11-10T09:18:30.605147,9616.524393412501,9616.524393412501,0.0
2025-11-10T09:21:36.546548,9616.524393412501,9616.524393412501,0.0
2025-11-10T09:24:42.427125,9616.524393412501,9616.524393412501,0.0
2025-11-10T09:27:48.479689,9616.524393412501,9616.524393412501,0.0
2025-11-10T09:53:46.833898,9616.524393412501,9616.524393412501,0.0
2025-11-10T09:56:52.903010,9616.524393412501,9616.524393412501,0.0
2025-11-10T09:59:58.900611,9616.524393412501,9616.524393412501,0.0
2025-11-10T10:03:04.834970,9633.174420762502,9633.174420762502,0.0
2025-11-10T10:06:10.761018,9317.100541429169,9317.100541429169,0.0
2025-11-10T10:09:16.826149,9317.100541429169,9317.100541429169,0.0
2025-11-10T10:12:22.695556,9317.100541429169,9317.100541429169,0.0
2025-11-10T10:15:28.395718,9317.100541429169,9317.100541429169,0.0
2025-11-10T10:18:34.069624,9317.100541429169,9317.100541429169,0.0
2025-11-10T10:21:39.658986,9317.100541429169,9317.100541429169,0.0
2025-11-10T10:24:45.316295,9317.100541429169,9317.100541429169,0.0
2025-11-10T10:27:50.994345,9317.100541429169,9317.100541429169,0.0
2025-11-10T10:30:56.717563,9317.100541429169,9317.100541429169,0.0
2025-11-10T10:34:02.783807,9317.100541429169,9317.100541429169,0.0
2025-11-10T10:37:08.631388,9317.100541429169,9317.100541429169,0.0
2025-11-10T10:40:14.400425,9317.100541429169,9317.100541429169,0.0
2025-11-10T10:43:20.546885,9317.100541429169,9317.100541429169,0.0
2025-11-10T11:06:32.218558,9317.100541429169,9317.100541429169,0.0
2025-11-10T11:10:49.090720,9317.100541429169,9317.100541429169,0.0
2025-11-10T11:13:54.871549,9317.100541429169,9317.100541429169,0.0
2025-11-10T11:17:00.916662,9317.100541429169,9317.100541429169,0.0
2025-11-10T11:20:07.274425,9317.100541429169,9317.100541429169,0.0
2025-11-10T11:38:20.188997,9317.100541429169,9317.100541429169,0.0
2025-11-10T12:04:50.361200,9317.100541429169,9317.100541429169,0.0
2025-11-10T12:07:56.153695,9317.100541429169,9317.100541429169,0.0
2025-11-10T12:11:01.894720,9317.100541429169,9317.100541429169,0.0
2025-11-10T12:14:07.566118,9317.100541429169,9317.100541429169,0.0
2025-11-10T12:17:13.409526,9317.100541429169,9317.100541429169,0.0
2025-11-10T12:20:19.354501,9317.100541429169,9317.100541429169,0.0
2025-11-10T12:33:30.854599,9317.100541429169,9317.100541429169,0.0
2025-11-10T13:17:33.131981,9317.100541429169,9317.100541429169,0.0
2025-11-13T02:33:29.563742,9559.6714395825,9559.6714395825,0.0
2025-11-13T02:36:36.355864,9559.6714395825,9559.6714395825,0.0
2025-11-13T02:39:43.228685,9559.6714395825,9559.6714395825,0.0
2025-11-13T02:42:50.330840,9559.6714395825,9559.6714395825,0.0
2025-11-13T02:45:57.403940,9559.6714395825,9559.6714395825,0.0
2025-11-13T02:49:04.352836,9559.6714395825,9559.6714395825,0.0
2025-11-13T02:52:11.336384,9559.6714395825,9559.6714395825,0.0
