timestamp,coin,action,side,quantity,price,pnl,reason
2025-11-10T08:44:23.487006,BTC,open,long,0.005,104699.6,0,
2025-11-10T08:56:48.038394,ETH,open,long,0.1,3574.72,0,
2025-11-10T08:56:48.038596,SOL,open,long,0.5,164.54,0,
2025-11-10T08:56:48.038644,XRP,open,long,20,2.3331,0,
2025-11-10T08:56:48.038690,DOGE,open,long,500,0.17954,0,
2025-11-10T08:56:48.038734,BNB,open,long,0.05,996.13,0,
2025-11-10T10:03:04.834755,XRP,close,long,20,2.3892,1.096027350000005,
2025-11-10T10:06:10.760891,XRP,open,long,400,2.3686,0,
2025-11-13T02:33:29.562744,ETH,open,short,0.2,3494.53,0,
2025-11-13T02:33:29.563171,SOL,open,short,2,157.9,0,
2025-11-13T02:33:29.563294,XRP,open,short,200,2.4089,0,
2025-11-13T02:33:29.563397,BTC,open,short,0.005,103669.34,0,
2025-11-13T02:33:29.563491,DOGE,open,short,500,0.1751,0,
2025-11-13T02:33:29.563606,BNB,open,short,0.1,962.37,0,
2025-11-13T08:53:51.538500,XRP,close,short,200,2.3872,4.0762145000000105,
2025-11-13T08:56:57.870282,XRP,open,long,100,2.3896,0,
2025-11-13T09:00:06.634691,XRP,close,long,100,2.3938,0.2884564999999981,
2025-11-13T09:03:13.368312,XRP,open,long,100,2.3889,0,
2025-11-13T09:09:26.580828,XRP,close,long,100,2.3726,-1.7609412500000203,
2025-11-13T09:12:33.411722,XRP,open,long,100,2.3759,0,
2025-11-13T09:15:39.622609,XRP,close,long,100,2.3689,-0.8304820000000117,
2025-11-13T09:18:46.099840,XRP,open,long,200,2.3714,0,
2025-11-13T09:36:23.900811,XRP,close,long,200,2.366,-1.34055699999997,
2025-11-13T10:17:12.531776,XRP,open,long,100,2.3736,0,
2025-11-13T14:37:04.281141,XRP,close,long,100,2.4464,7.147449999999998,
2025-11-13T14:40:11.429835,XRP,open,long,200,2.4656,0,
2025-11-13T14:43:17.389938,XRP,close,long,200,2.4878,4.167563000000044,
2025-11-13T14:46:23.446946,XRP,open,long,200,2.4806,0,
2025-11-13T14:49:29.304499,XRP,close,long,200,2.5063,4.865720500000011,
2025-11-13T14:52:35.410937,ETH,close,short,0.2,3463.01,5.921335299999996,
2025-11-13T14:52:35.411001,SOL,close,short,2,155.28,5.067751000000009,
2025-11-13T14:52:35.411175,XRP,open,short,200,2.5017,0,
2025-11-13T14:52:35.411228,BTC,close,short,0.005,102318.75,6.469716376249982,
2025-11-13T14:52:35.411280,DOGE,close,short,500,0.17491,0.046873624999997865,
2025-11-13T14:52:35.411330,BNB,close,short,0.1,961.68,0.01608862500000545,
2025-11-13T14:55:42.660208,ETH,open,long,10,3461.77,0,
2025-11-13T14:55:42.660441,SOL,open,long,30,155.02,0,
2025-11-13T14:55:42.660634,XRP,close,short,200,2.4991,0.2449560000000315,
2025-11-13T14:55:42.660805,DOGE,open,long,10000,0.17465,0,
2025-11-13T14:55:42.660972,BNB,open,long,2,960.92,0,
2025-11-13T14:58:49.031333,XRP,open,short,500,2.4997,0,
2025-11-13T15:01:55.399890,BTC,open,long,0.05,101986.98,0,
2025-11-13T16:07:01.981287,SOL,close,long,30,153.91,-35.848672500000404,
2025-11-13T16:10:08.653288,SOL,open,long,1,154.11,0,
2025-11-13T17:52:24.856302,ETH,close,long,10,3550,863.0176325000001,Take profit hit
2025-11-13T17:52:29.084292,ETH,open,long,0.2,3550.45,0,
2025-11-13T18:11:07.461122,BNB,close,long,2,967.81,12.719198499999973,
2025-11-13T18:14:14.499602,BNB,open,long,1,967.38,0,
2025-11-13T18:42:07.991027,BNB,close,long,1,964.96,-2.951393499999959,
2025-11-13T18:45:14.230602,BNB,open,long,1,964.49,0,
2025-11-13T19:53:32.106629,ETH,close,long,0.2,3532.89,-3.901583699999989,
2025-11-13T19:59:45.050222,ETH,open,long,0.1,3526.05,0,
2025-11-13T20:52:33.981201,ETH,close,long,0.1,3485.78,-4.219825324999999,
2025-11-13T20:55:40.402234,ETH,open,long,0.2,3479.8,0,
2025-11-13T21:04:59.557618,XRP,close,short,500,2.5041,-2.888022500000202,
2025-11-13T21:08:06.431030,XRP,open,long,1000,2.5072,0,
